14.55.25.132,13.41.107.98
128.61.5.165,128.42.133.90
67.34.8.182,69.63.245.73
124.64.235.131,127.64.19.240
70.57.237.115,66.217.213.79
69.55.5.177,65.41.5.176
60.32.8.186,60.192.10.186
12.238.26.115,15.246.106.112
124.236.237.140,127.203.42.242
121.59.236.121,121.58.10.71
67.132.25.105,69.132.234.154
12.32.237.143,15.63.237.159
60.33.235.189,60.193.240.67
70.61.235.114,66.221.239.113
10.238.9.185,11.182.115.199
17.239.237.150,17.208.53.246
62.30.25.195,63.225.150.203
125.61.26.151,126.213.102.239
128.237.29.197,128.210.227.226
128.236.28.118,128.211.147.182
125.59.26.193,126.209.106.137
127.60.235.126,124.203.40.129
11.30.26.141,10.239.101.12
10.58.237.197,11.52.45.37
126.33.28.194,125.193.109.25
60.58.9.174,60.220.114.209
206.31.6.160,206.17.121.45
10.33.236.143,11.33.245.16
16.33.28.187,16.222.234.196
202.56.27.170,202.63.232.166
128.61.29.127,128.42.156.191
201.34.8.184,201.33.137.69
123.62.6.126,122.200.6.65
201.236.25.119,201.147.228.176
67.64.25.198,69.64.101.201
66.33.28.180,68.193.101.52
123.31.5.107,122.225.122.100
67.63.29.136,69.33.101.149
129.235.7.141,129.140.248.157
61.236.6.189,61.236.121.61
61.58.5.152,61.39.122.123
121.33.28.164,121.33.19.37
207.235.7.163,207.145.7.95
124.30.237.106,127.16.203.150
64.57.237.154,71.206.42.133
10.235.28.111,11.179.26.95
122.31.237.133,123.224.51.226
126.33.26.182,125.193.105.49
13.32.8.188,14.223.241.67
203.238.29.116,203.247.18.74
66.57.27.113,68.221.96.112
200.133.235.155,200.122.8.152
67.63.236.182,69.33.234.201
68.134.6.195,64.134.6.211
14.61.8.102,13.34.140.86
66.57.5.187,68.221.123.187
11.56.8.123,10.203.143.184
209.235.26.124,217.244.233.188
15.35.8.192,12.222.241.16
201.62.5.114,201.57.4.141
63.237.5.198,62.85.122.174
128.34.5.177,128.63.4.200
208.58.29.193,216.197.18.161
15.64.27.163,12.188.16.216
121.55.7.152,121.55.7.248
204.238.235.161,204.144.200.95
206.57.5.131,206.37.4.127
209.33.27.177,217.61.99.177
128.64.27.131,128.64.107.111
201.56.5.104,201.63.251.105
67.30.235.175,69.31.48.80
13.55.5.101,14.199.4.172
200.63.6.161,200.216.134.172
208.58.8.125,216.197.15.188
65.62.6.157,70.206.249.29
66.239.237.191,68.105.235.64
127.63.236.163,124.201.212.163
200.55.28.164,200.215.18.211
128.238.28.168,128.208.154.164
209.130.8.129,217.128.15.109
13.59.235.131,14.207.211.239
206.237.6.161,206.141.6.171
120.130.235.119,120.255.232.119
123.55.8.158,122.199.116.225
68.237.237.104,64.205.242.102
70.35.9.146,66.194.242.141
69.238.27.112,65.145.99.177
127.33.236.183,124.222.11.72
68.61.27.137,64.42.231.132
17.239.26.133,17.208.146.154
200.131.235.178,200.124.51.49
122.62.9.196,123.222.119.75
11.238.9.123,10.73.8.123
67.35.26.158,69.62.230.254
126.130.235.126,125.1.247.190
124.55.28.128,127.56.156.143
200.236.8.159,200.43.137.0
62.62.25.136,63.206.22.137
70.239.235.170,66.41.204.165
203.56.9.105,203.51.139.107
65.132.28.147,70.4.154.240
127.57.28.157,124.206.149.3
61.236.25.157,61.236.104.226
123.61.5.133,122.202.133.18
13.236.236.122,14.20.210.70
60.60.29.133,60.219.20.245
206.236.25.178,206.140.235.49
61.130.9.169,61.130.136.217
122.237.26.143,123.106.229.127
10.57.5.143,11.54.250.239
208.30.236.131,216.230.12.156
201.55.29.146,201.55.107.237
203.131.9.183,203.131.119.183
202.133.237.169,202.250.19.86
62.130.236.179,63.126.52.179
12.236.25.137,15.244.17.25
127.35.236.141,124.221.202.243
61.239.26.190,61.239.110.193
63.34.237.148,62.220.202.235
205.132.25.138,205.132.239.137
63.237.25.160,62.85.96.82
62.131.25.173,63.127.107.172
70.30.237.141,66.230.12.3
13.35.26.144,14.220.150.241
70.35.236.132,66.194.45.122
127.235.5.108,124.78.251.108
64.63.9.136,71.201.14.251
66.35.26.114,68.195.109.142
17.61.9.123,17.58.138.135
69.57.7.195,65.38.135.15
208.58.25.180,216.197.21.205
15.235.9.175,12.118.243.160
16.61.25.100,16.205.100.91
203.64.237.119,203.64.242.119
13.56.26.116,14.204.229.178
209.133.27.113,217.133.100.73
64.32.237.179,71.220.235.79
207.35.8.158,207.34.245.1
205.130.7.178,205.128.135.182
65.35.236.159,70.221.203.127
127.59.27.188,124.205.31.195
124.61.26.143,127.53.30.239
61.30.28.143,61.23.109.15
66.56.28.139,68.220.147.7
126.35.7.178,125.195.7.49
202.31.237.176,202.30.45.76
63.238.29.200,62.87.235.132
203.64.9.158,203.64.12.225
204.133.9.200,204.250.244.120
67.235.7.152,69.214.248.4
126.235.6.190,125.118.249.62
205.237.26.124,205.245.25.189
16.33.5.175,16.222.251.208
61.63.25.168,61.33.109.89
70.56.5.105,66.216.133.171
205.58.6.189,205.53.121.61
13.130.27.135,14.125.104.119
69.56.236.139,65.39.235.27
14.30.236.133,13.16.211.125
13.57.6.104,14.205.121.166
11.132.28.153,10.4.227.6
208.134.235.141,216.7.212.29
204.33.235.120,204.34.47.135
122.134.236.102,123.6.44.110
204.34.6.147,204.32.134.136
121.133.235.139,121.133.208.11
125.236.5.188,126.75.5.60
13.59.26.119,14.207.106.119
205.31.7.114,205.30.135.177
67.60.8.192,69.35.243.108
205.58.27.143,205.53.107.16
65.239.7.110,70.79.120.81
62.59.236.112,63.200.19.183
208.236.237.169,216.84.202.213
208.64.26.195,216.191.150.224
63.30.237.200,62.225.19.122
127.35.235.113,124.221.204.118
12.31.237.158,15.31.235.1
124.238.27.128,127.201.23.248
65.32.9.162,70.223.119.213
68.62.29.176,64.40.235.182
65.237.26.109,70.77.98.82
15.35.9.155,12.222.240.24
61.60.25.147,61.35.229.232
10.57.236.194,11.54.42.254
202.63.236.166,202.57.235.38
125.33.28.159,126.193.101.31
67.62.8.135,69.32.14.224
207.237.9.152,207.149.113.132
12.61.9.105,15.45.115.90
11.62.237.154,10.207.21.5
14.63.28.126,13.32.228.126
11.59.7.170,10.200.135.170
204.131.235.144,204.253.247.234
61.31.236.191,61.22.42.191
123.34.237.114,122.220.244.138
63.235.25.133,62.82.229.154
201.59.9.111,201.61.114.80
60.56.28.181,60.223.18.180
12.30.7.108,15.30.120.157
64.57.27.185,71.206.236.59
208.239.9.155,216.87.8.103
124.60.235.192,127.52.211.159
129.131.25.150,129.255.99.14
62.58.236.116,63.201.18.76
121.237.26.140,121.213.97.125
205.59.236.117,205.52.53.141
70.56.6.156,66.216.134.227
209.131.9.182,217.129.9.54
68.133.8.125,64.133.119.189
207.35.235.112,207.34.55.76
201.32.27.177,201.35.227.74
69.59.27.127,65.37.20.127
10.131.5.124,11.254.251.67
63.35.8.193,62.221.116.197
202.131.27.158,202.252.156.129
63.55.5.188,62.200.251.66
61.61.27.112,61.34.156.139
202.55.9.184,202.54.246.187
67.237.28.173,69.210.236.210
207.58.7.179,207.51.248.76
206.131.9.164,206.254.137.90
204.61.236.166,204.53.204.209
128.32.9.190,128.60.136.62
63.64.6.130,62.131.121.30
15.32.9.157,12.220.243.125
123.30.26.161,122.224.157.42
129.61.5.164,129.45.4.163
208.132.235.165,216.4.208.84
206.64.237.146,206.67.19.241
121.56.25.112,121.56.104.76
122.57.28.193,123.217.99.102
121.64.8.116,121.124.142.75
204.133.25.106,204.250.225.86
61.238.236.108,61.238.10.93
67.237.6.186,69.210.249.70
17.64.27.131,17.64.111.143
62.61.236.115,63.205.234.72
126.236.236.110,125.115.234.97
11.238.235.166,10.73.200.46
65.238.25.144,70.78.152.235
124.238.8.173,127.201.15.82
62.133.7.152,63.122.135.122
64.134.25.133,71.6.151.250
14.35.235.135,13.61.235.231
125.31.8.140,126.238.247.2
125.31.5.120,126.238.251.69
13.134.236.119,14.120.243.136
13.56.27.196,14.204.228.83
207.236.235.126,207.148.211.126
13.236.6.162,14.20.6.217
15.55.27.121,12.198.152.70
207.58.29.175,207.51.236.160
204.132.26.127,204.251.25.191
200.61.28.165,200.218.146.210
209.61.27.150,217.42.144.142
65.32.8.124,70.223.118.66
127.58.27.160,124.204.107.46
10.131.26.148,11.254.238.148
13.35.28.123,14.220.147.135
202.239.27.123,202.177.100.184
203.56.235.109,203.51.51.156
124.131.9.139,127.130.245.136
13.56.236.103,14.204.18.88
202.57.9.168,202.62.142.212
63.30.26.177,62.225.150.180
208.62.9.142,216.193.8.225
65.64.29.129,70.128.157.28
12.57.29.143,15.42.236.240
124.239.236.149,127.200.52.140
61.132.9.192,61.132.139.103
121.61.28.155,121.61.19.27
127.31.25.154,124.225.30.249
121.236.236.164,121.212.244.213
206.31.236.148,206.17.243.11
120.237.5.111,120.178.251.175
200.61.9.130,200.218.142.129
69.35.28.187,65.60.147.59
202.236.28.105,202.179.99.151
129.61.8.166,129.45.9.41
208.33.8.157,216.221.114.130
207.35.7.176,207.34.248.77
208.237.26.185,216.85.110.187
11.133.25.177,10.5.28.77
207.133.5.121,207.250.250.186
122.238.235.157,123.104.204.98
204.57.25.188,204.50.233.66
61.63.29.152,61.33.106.231
123.63.6.133,122.201.6.253
206.31.28.157,206.17.98.156
60.56.5.108,60.223.4.93
12.131.8.151,15.130.245.104
200.33.25.164,200.193.107.221
65.32.5.110,70.223.123.145
10.130.27.118,11.255.31.73
17.61.5.120,17.58.132.187
11.237.235.148,10.74.51.114
209.133.29.123,217.133.98.135
206.239.235.169,206.143.239.215
69.132.6.102,65.251.134.86
60.35.236.108,60.195.204.93
123.32.5.125,122.223.251.188
66.58.9.159,68.223.11.128
125.238.25.161,126.72.24.42
209.30.29.160,217.17.156.90
17.60.235.110,17.59.20.174
65.35.5.126,70.221.123.126
126.134.8.124,125.7.241.131
128.59.26.159,128.45.110.159
11.64.28.144,10.128.154.238
201.33.8.114,201.34.138.113
11.236.5.196,10.75.133.61
125.30.237.107,126.239.243.164
200.59.6.117,200.223.6.116
125.132.7.139,126.4.7.132
200.235.5.108,200.44.132.93
10.237.235.120,11.181.239.71
129.33.7.194,129.61.7.49
68.62.235.113,64.40.19.139
13.60.8.175,14.203.136.208
203.236.236.142,203.244.42.129
208.59.25.191,216.196.227.192
63.239.6.172,62.86.134.162
64.60.29.126,71.203.19.190
69.62.27.195,65.32.147.0
202.33.8.183,202.33.13.79
11.130.235.146,10.1.203.105
17.238.6.165,17.209.6.165
11.62.8.198,10.207.244.193
69.59.8.164,65.37.9.42
123.34.28.165,122.220.28.162
208.132.25.101,216.4.27.163
67.239.7.101,69.209.7.170
202.31.6.168,202.30.134.166
123.61.237.150,122.202.45.238
122.60.28.149,123.220.156.148
208.133.28.143,216.5.107.15
15.35.25.159,12.222.230.128
125.63.7.160,126.215.7.219
121.63.235.130,121.62.43.21
12.31.26.139,15.31.30.139
120.132.235.103,120.251.207.160
124.63.236.196,127.55.236.211
200.31.236.112,200.225.237.179
17.32.28.127,17.35.234.64
121.64.7.137,121.124.135.119
16.56.235.135,16.200.211.247
13.238.8.160,14.22.115.82
70.239.29.111,66.41.28.175
11.133.8.140,10.5.13.12
208.30.29.164,216.230.226.93
68.56.236.193,64.47.12.140
67.237.7.178,69.210.248.73
69.55.25.171,65.41.16.167
15.55.236.186,12.198.45.69
67.34.29.143,69.63.235.224
200.62.26.192,200.217.225.27
207.131.27.124,207.255.100.125
209.31.237.180,217.16.18.181
128.61.6.128,128.42.134.224
203.60.9.100,203.52.242.91
12.34.236.103,15.60.11.167
127.31.237.123,124.225.236.123
208.62.5.173,216.193.5.162
127.236.237.110,124.75.12.174
209.61.6.129,217.42.134.241
202.31.5.158,202.30.133.126
61.58.25.176,61.39.99.207
17.237.26.184,17.210.145.71
208.239.29.125,216.87.26.189
12.62.9.124,15.46.140.130
68.62.25.200,64.40.236.215
202.238.26.171,202.176.98.167
123.132.236.165,122.123.12.171
11.64.5.103,10.128.133.151
15.130.27.191,12.0.227.191
127.30.9.144,124.224.241.20
16.60.237.101,16.204.244.165
201.31.236.174,201.31.237.81
62.61.235.134,63.205.236.9
205.56.27.143,205.55.28.127
13.237.8.184,14.21.117.70
62.61.9.186,63.205.116.70
122.132.27.139,123.4.224.104
66.131.29.130,68.1.29.113
13.57.237.145,14.205.245.244
66.32.28.139,68.192.226.251
205.31.28.148,205.30.156.138
61.57.27.115,61.37.100.143
62.32.27.125,63.220.159.124
201.60.8.142,201.59.143.14
201.130.7.118,201.255.135.78
64.134.236.183,71.6.21.48
205.238.27.198,205.246.24.201
129.31.9.138,129.24.140.105
66.34.7.156,68.194.120.131
204.60.27.168,204.52.231.84
205.34.6.125,205.35.121.188
207.64.6.165,207.67.6.212
67.237.9.165,69.210.244.37
17.32.8.120,17.35.241.132
14.31.28.187,13.17.106.196
122.55.29.109,123.215.29.163
123.32.25.132,122.223.236.13
14.56.29.142,13.36.155.14
68.239.5.129,64.207.123.3
122.130.5.122,123.0.5.69
202.34.5.181,202.35.132.50
205.55.9.112,205.57.8.119
121.64.29.177,121.124.156.181
14.58.5.196,13.38.4.163
203.64.7.117,203.64.7.180
15.62.28.124,12.201.155.188
17.57.6.144,17.61.121.104
206.134.27.158,206.248.231.254
12.61.237.101,15.45.204.148
205.55.7.135,205.57.7.24
208.55.9.141,216.201.113.19
68.34.237.160,64.63.204.215
204.239.235.141,204.145.240.115
15.30.8.127,12.231.245.191
127.34.25.125,124.220.31.125
120.31.5.104,120.16.250.166
124.33.235.118,127.34.43.73
123.59.29.199,122.206.149.223
69.56.5.159,65.39.123.159
205.133.5.125,205.133.4.67
16.130.236.111,16.124.10.95
201.133.6.112,201.250.249.139
129.57.25.106,129.41.110.165
128.59.6.151,128.45.121.15
14.62.237.182,13.33.203.182
123.235.26.105,122.43.98.105
66.133.27.180,68.5.23.76
205.130.9.123,205.128.142.68
127.55.25.119,124.199.103.72
129.238.8.117,129.137.242.114
122.235.27.167,123.111.107.223
205.31.235.141,205.30.43.253
16.33.6.198,16.222.249.30
13.133.235.157,14.122.20.98
128.35.5.197,128.62.251.50
123.130.237.112,122.127.213.116
121.237.236.117,121.213.237.138
16.31.26.173,16.224.233.35
201.62.29.118,201.57.27.78
66.32.29.156,68.192.227.3
123.60.7.155,122.203.7.4
208.60.27.195,216.195.24.224
208.60.6.148,216.195.6.141
203.131.28.127,203.131.106.127
62.236.29.149,63.12.154.236
120.133.7.161,120.250.135.91
14.237.7.196,13.202.135.91
128.30.9.116,128.23.115.179
125.59.25.154,126.209.104.154
124.60.8.136,127.52.14.230
64.59.28.117,71.204.149.178
70.35.28.117,66.194.229.140
129.134.9.196,129.249.138.19
202.235.7.152,202.181.120.123
61.35.5.169,61.63.4.38
205.132.6.151,205.132.249.112
61.59.235.158,61.38.15.129
129.58.7.151,129.43.248.232
10.64.29.116,11.127.237.140
70.58.26.147,66.219.157.15
127.56.27.180,124.207.27.50
62.33.29.136,63.221.27.137
200.33.5.114,200.193.123.137
205.55.5.179,205.57.4.48
129.60.27.196,129.44.28.109
65.236.8.132,70.76.116.234
12.131.236.152,15.130.11.123
125.236.29.197,126.75.29.244
16.132.29.145,16.123.156.138
121.64.9.178,121.124.143.205
129.56.236.178,129.40.19.53
205.130.29.149,205.128.148.244
208.57.25.147,216.198.154.151
15.238.235.149,12.113.215.236
64.64.8.150,71.191.240.137
128.31.7.130,128.22.135.22
16.61.29.135,16.205.98.111
120.31.6.186,120.16.249.57
206.31.26.145,206.17.102.244
65.56.29.162,70.200.226.170
201.59.28.182,201.61.109.54
202.32.236.195,202.32.245.107
209.33.28.160,217.61.101.45
209.64.7.101,217.67.120.85
12.64.237.143,15.67.45.0
11.33.237.179,10.221.202.76
203.131.7.160,203.131.120.94
64.236.5.111,71.76.251.159
69.62.26.119,65.32.146.119
16.64.6.116,16.188.121.140
124.30.9.135,127.16.14.31
121.31.7.138,121.25.120.233
123.239.7.176,122.46.135.178
200.236.7.132,200.43.135.245
63.130.7.148,62.3.248.11
10.35.28.111,11.34.156.111
15.56.235.178,12.204.239.50
123.236.6.146,122.44.134.142
122.59.27.151,123.219.20.144
10.34.9.104,11.35.244.85
128.235.237.147,128.212.51.239
201.237.5.163,201.146.132.160
68.64.25.176,64.67.111.201
70.131.8.196,66.127.117.53
205.33.27.188,205.33.23.60
11.58.7.159,10.201.135.255
203.35.5.134,203.32.132.1
202.133.7.147,202.250.135.235
16.34.8.166,16.221.14.161
13.63.26.174,14.201.25.81
205.55.27.109,205.57.28.163
204.30.25.111,204.24.233.175
65.64.25.185,70.128.155.70
121.33.6.112,121.33.6.72
201.58.6.131,201.60.249.115
206.239.8.106,206.143.15.165
60.238.235.153,60.23.207.26
17.33.28.115,17.34.149.139
67.132.27.103,69.132.232.95
203.57.8.151,203.50.136.239
203.35.25.178,203.32.148.178
120.58.5.142,120.60.250.129
64.63.26.190,71.201.18.193
11.33.29.186,10.221.21.69
60.133.235.169,60.122.23.167
60.235.5.121,60.16.132.68
122.63.236.180,123.223.243.74
66.31.8.195,68.232.244.247
70.59.5.116,66.218.133.114
123.33.235.117,122.222.19.178
203.59.29.182,203.49.100.206
16.236.28.200,16.19.229.23
129.56.235.123,129.40.20.184
201.131.235.114,201.254.11.114
67.237.235.123,69.210.51.120
15.59.26.153,12.206.145.5
16.235.236.198,16.23.244.134
61.131.8.135,61.131.13.111
126.35.28.181,125.195.26.180
122.134.9.159,123.6.143.31
202.63.26.147,202.57.26.232
128.56.7.136,128.47.135.247
69.34.6.140,65.61.121.109
69.59.26.187,65.37.21.71
17.132.8.171,17.132.117.91
205.58.29.130,205.53.108.113
124.35.8.127,127.32.247.191
68.236.9.149,64.204.245.139
12.132.7.183,15.132.120.176
62.35.25.130,63.222.237.10
125.32.8.151,126.192.243.15
64.64.235.115,71.191.48.72
120.236.28.109,120.179.236.108
10.236.27.164,11.180.148.170
61.239.6.130,61.239.121.105
60.134.237.112,60.120.203.179
12.30.6.118,15.30.121.177
11.58.237.169,10.201.50.37
204.63.29.162,204.54.237.46
17.31.29.162,17.25.18.34
126.235.29.119,125.118.228.183
202.33.29.105,202.33.19.150
69.60.28.100,65.35.147.171
14.60.7.170,13.35.248.86
206.61.29.181,206.34.156.51
17.235.27.175,17.213.100.175
202.62.28.104,202.56.227.168
65.59.27.191,70.202.159.192
200.35.9.148,200.194.141.235
69.236.9.169,65.147.117.91
128.239.5.156,128.209.123.130
67.235.237.100,69.214.42.149
121.133.9.148,121.133.11.242
124.32.8.140,127.35.244.147
62.64.27.198,63.191.236.174
61.235.27.138,61.233.20.102
60.35.28.169,60.195.98.218
124.35.26.131,127.32.230.231
16.133.8.192,16.122.141.48
203.239.27.111,203.246.227.144
15.238.236.189,12.113.210.189
203.31.237.120,203.24.50.132
128.133.28.145,128.133.108.241
206.133.6.126,206.250.134.65
125.61.237.192,126.213.245.202
15.239.25.146,12.112.146.242
127.239.235.113,124.72.40.74
64.56.29.107,71.207.236.151
203.31.6.124,203.24.249.131
205.56.7.153,205.55.7.27
60.133.27.143,60.122.236.112
67.35.29.144,69.62.227.141
10.132.235.138,11.251.200.118
202.237.27.123,202.178.148.187
201.60.26.114,201.59.145.178
120.30.9.182,120.17.114.182
209.59.9.196,217.46.142.45
206.132.5.185,206.251.251.184
70.62.235.157,66.223.200.2
207.132.236.152,207.251.52.152
121.59.29.133,121.58.228.100
14.32.27.144,13.63.151.107
127.61.8.148,124.202.137.109
201.32.236.137,201.35.52.245
123.63.25.144,122.201.17.143
203.60.28.133,203.52.235.26
12.60.25.197,15.44.16.244
122.239.237.105,123.105.213.153
203.34.29.130,203.33.226.238
124.236.235.200,127.203.44.38
66.59.236.169,68.222.19.39
200.134.9.113,200.121.143.77
17.130.9.143,17.131.143.143
120.60.6.119,120.59.249.176
122.131.29.188,123.1.101.60
69.32.236.156,65.63.236.157
200.35.236.136,200.194.45.107
60.62.29.139,60.217.109.152
63.56.28.195,62.199.101.116
121.35.27.149,121.35.24.13
129.64.27.121,129.67.239.123
14.31.7.120,13.17.120.120
209.32.235.152,217.60.200.7
202.60.28.148,202.59.235.11
60.61.27.176,60.218.236.179
66.59.235.176,68.222.23.53
128.57.5.130,128.46.133.126
203.64.25.114,203.64.21.137
207.33.237.115,207.33.202.139
126.31.237.199,125.230.42.16
201.235.8.181,201.151.9.77
65.60.9.127,70.204.119.127
202.34.237.102,202.35.10.174
64.60.235.153,71.203.212.249
128.31.8.200,128.22.143.57
203.30.5.143,203.25.132.31
121.57.26.177,121.57.29.76
207.134.236.131,207.248.235.124
66.239.28.138,68.105.106.138
61.132.26.195,61.132.150.135
62.58.28.122,63.201.235.134
201.55.25.183,201.55.109.48
14.61.29.165,13.34.146.173
204.238.6.183,204.144.121.72
70.31.9.106,66.231.119.165
121.55.27.194,121.55.24.205
62.239.5.141,63.15.4.114
10.34.237.127,11.35.19.64
208.131.5.159,216.1.122.224
12.57.26.180,15.42.234.178
203.133.25.126,203.133.110.126
122.59.236.116,123.219.244.76
202.131.235.126,202.252.15.190
68.55.5.120,64.38.250.68
66.133.8.112,68.5.14.75
68.61.237.140,64.42.20.236
67.58.9.118,69.36.117.78
12.34.5.115,15.60.133.119
16.237.237.126,16.18.42.65
12.134.235.144,15.134.19.17
11.33.6.175,10.221.6.208
204.132.236.100,204.251.244.107
208.133.6.114,216.5.121.181
62.59.5.105,63.200.133.164
120.237.235.165,120.178.16.213
12.134.26.107,15.134.230.87
129.237.236.118,129.138.53.142
