13.41.107.98,14.55.25.132
125.193.109.25,126.33.28.194
60.220.114.209,60.58.9.174
206.17.121.45,206.31.6.160
11.33.245.16,10.33.236.143
16.222.234.196,16.33.28.187
202.63.232.166,202.56.27.170
128.42.156.191,128.61.29.127
201.33.137.69,201.34.8.184
122.200.6.65,123.62.6.126
201.147.228.176,201.236.25.119
69.64.101.201,67.64.25.198
68.193.101.52,66.33.28.180
122.225.122.100,123.31.5.107
69.33.101.149,67.63.29.136
129.140.248.157,129.235.7.141
61.236.121.61,61.236.6.189
61.39.122.123,61.58.5.152
121.33.19.37,121.33.28.164
207.145.7.95,207.235.7.163
127.16.203.150,124.30.237.106
71.206.42.133,64.57.237.154
11.179.26.95,10.235.28.111
123.224.51.226,122.31.237.133
125.193.105.49,126.33.26.182
14.223.241.67,13.32.8.188
203.247.18.74,203.238.29.116
68.221.96.112,66.57.27.113
200.122.8.152,200.133.235.155
69.33.234.201,67.63.236.182
64.134.6.211,68.134.6.195
13.34.140.86,14.61.8.102
68.221.123.187,66.57.5.187
10.203.143.184,11.56.8.123
217.244.233.188,209.235.26.124
12.222.241.16,15.35.8.192
201.57.4.141,201.62.5.114
62.85.122.174,63.237.5.198
128.63.4.200,128.34.5.177
216.197.18.161,208.58.29.193
12.188.16.216,15.64.27.163
121.55.7.248,121.55.7.152
204.144.200.95,204.238.235.161
206.37.4.127,206.57.5.131
217.61.99.177,209.33.27.177
128.64.107.111,128.64.27.131
201.63.251.105,201.56.5.104
69.31.48.80,67.30.235.175
14.199.4.172,13.55.5.101
200.216.134.172,200.63.6.161
216.197.15.188,208.58.8.125
70.206.249.29,65.62.6.157
68.105.235.64,66.239.237.191
124.201.212.163,127.63.236.163
200.215.18.211,200.55.28.164
128.208.154.164,128.238.28.168
217.128.15.109,209.130.8.129
14.207.211.239,13.59.235.131
206.141.6.171,206.237.6.161
120.255.232.119,120.130.235.119
122.199.116.225,123.55.8.158
64.205.242.102,68.237.237.104
66.194.242.141,70.35.9.146
65.145.99.177,69.238.27.112
124.222.11.72,127.33.236.183
64.42.231.132,68.61.27.137
17.208.146.154,17.239.26.133
200.124.51.49,200.131.235.178
123.222.119.75,122.62.9.196
10.73.8.123,11.238.9.123
69.62.230.254,67.35.26.158
125.1.247.190,126.130.235.126
127.56.156.143,124.55.28.128
200.43.137.0,200.236.8.159
63.206.22.137,62.62.25.136
66.41.204.165,70.239.235.170
203.51.139.107,203.56.9.105
70.4.154.240,65.132.28.147
124.206.149.3,127.57.28.157
61.236.104.226,61.236.25.157
122.202.133.18,123.61.5.133
14.20.210.70,13.236.236.122
60.219.20.245,60.60.29.133
206.140.235.49,206.236.25.178
61.130.136.217,61.130.9.169
123.106.229.127,122.237.26.143
11.54.250.239,10.57.5.143
216.230.12.156,208.30.236.131
201.55.107.237,201.55.29.146
203.131.119.183,203.131.9.183
202.250.19.86,202.133.237.169
63.126.52.179,62.130.236.179
15.244.17.25,12.236.25.137
124.221.202.243,127.35.236.141
61.239.110.193,61.239.26.190
62.220.202.235,63.34.237.148
205.132.239.137,205.132.25.138
62.85.96.82,63.237.25.160
63.127.107.172,62.131.25.173
66.230.12.3,70.30.237.141
14.220.150.241,13.35.26.144
66.194.45.122,70.35.236.132
124.78.251.108,127.235.5.108
71.201.14.251,64.63.9.136
68.195.109.142,66.35.26.114
17.58.138.135,17.61.9.123
65.38.135.15,69.57.7.195
216.197.21.205,208.58.25.180
12.118.243.160,15.235.9.175
16.205.100.91,16.61.25.100
203.64.242.119,203.64.237.119
14.204.229.178,13.56.26.116
217.133.100.73,209.133.27.113
71.220.235.79,64.32.237.179
207.34.245.1,207.35.8.158
205.128.135.182,205.130.7.178
70.221.203.127,65.35.236.159
124.205.31.195,127.59.27.188
127.53.30.239,124.61.26.143
61.23.109.15,61.30.28.143
68.220.147.7,66.56.28.139
125.195.7.49,126.35.7.178
202.30.45.76,202.31.237.176
62.87.235.132,63.238.29.200
203.64.12.225,203.64.9.158
204.250.244.120,204.133.9.200
69.214.248.4,67.235.7.152
125.118.249.62,126.235.6.190
205.245.25.189,205.237.26.124
16.222.251.208,16.33.5.175
61.33.109.89,61.63.25.168
66.216.133.171,70.56.5.105
205.53.121.61,205.58.6.189
14.125.104.119,13.130.27.135
65.39.235.27,69.56.236.139
13.16.211.125,14.30.236.133
14.205.121.166,13.57.6.104
10.4.227.6,11.132.28.153
216.7.212.29,208.134.235.141
204.34.47.135,204.33.235.120
123.6.44.110,122.134.236.102
204.32.134.136,204.34.6.147
121.133.208.11,121.133.235.139
126.75.5.60,125.236.5.188
14.207.106.119,13.59.26.119
205.30.135.177,205.31.7.114
69.35.243.108,67.60.8.192
205.53.107.16,205.58.27.143
70.79.120.81,65.239.7.110
63.200.19.183,62.59.236.112
216.84.202.213,208.236.237.169
216.191.150.224,208.64.26.195
62.225.19.122,63.30.237.200
124.221.204.118,127.35.235.113
15.31.235.1,12.31.237.158
127.201.23.248,124.238.27.128
70.223.119.213,65.32.9.162
64.40.235.182,68.62.29.176
70.77.98.82,65.237.26.109
12.222.240.24,15.35.9.155
61.35.229.232,61.60.25.147
11.54.42.254,10.57.236.194
202.57.235.38,202.63.236.166
126.193.101.31,125.33.28.159
69.32.14.224,67.62.8.135
207.149.113.132,207.237.9.152
15.45.115.90,12.61.9.105
10.207.21.5,11.62.237.154
13.32.228.126,14.63.28.126
10.200.135.170,11.59.7.170
204.253.247.234,204.131.235.144
61.22.42.191,61.31.236.191
122.220.244.138,123.34.237.114
62.82.229.154,63.235.25.133
201.61.114.80,201.59.9.111
60.223.18.180,60.56.28.181
15.30.120.157,12.30.7.108
71.206.236.59,64.57.27.185
216.87.8.103,208.239.9.155
127.52.211.159,124.60.235.192
129.255.99.14,129.131.25.150
63.201.18.76,62.58.236.116
121.213.97.125,121.237.26.140
205.52.53.141,205.59.236.117
66.216.134.227,70.56.6.156
217.129.9.54,209.131.9.182
64.133.119.189,68.133.8.125
207.34.55.76,207.35.235.112
201.35.227.74,201.32.27.177
65.37.20.127,69.59.27.127
11.254.251.67,10.131.5.124
62.221.116.197,63.35.8.193
202.252.156.129,202.131.27.158
62.200.251.66,63.55.5.188
61.34.156.139,61.61.27.112
202.54.246.187,202.55.9.184
69.210.236.210,67.237.28.173
207.51.248.76,207.58.7.179
206.254.137.90,206.131.9.164
204.53.204.209,204.61.236.166
128.60.136.62,128.32.9.190
62.131.121.30,63.64.6.130
12.220.243.125,15.32.9.157
122.224.157.42,123.30.26.161
129.45.4.163,129.61.5.164
216.4.208.84,208.132.235.165
206.67.19.241,206.64.237.146
121.56.104.76,121.56.25.112
123.217.99.102,122.57.28.193
121.124.142.75,121.64.8.116
204.250.225.86,204.133.25.106
61.238.10.93,61.238.236.108
69.210.249.70,67.237.6.186
17.64.111.143,17.64.27.131
63.205.234.72,62.61.236.115
125.115.234.97,126.236.236.110
10.73.200.46,11.238.235.166
70.78.152.235,65.238.25.144
127.201.15.82,124.238.8.173
63.122.135.122,62.133.7.152
71.6.151.250,64.134.25.133
13.61.235.231,14.35.235.135
126.238.247.2,125.31.8.140
126.238.251.69,125.31.5.120
14.120.243.136,13.134.236.119
14.204.228.83,13.56.27.196
207.148.211.126,207.236.235.126
14.20.6.217,13.236.6.162
12.198.152.70,15.55.27.121
207.51.236.160,207.58.29.175
204.251.25.191,204.132.26.127
200.218.146.210,200.61.28.165
217.42.144.142,209.61.27.150
70.223.118.66,65.32.8.124
124.204.107.46,127.58.27.160
11.254.238.148,10.131.26.148
14.220.147.135,13.35.28.123
202.177.100.184,202.239.27.123
203.51.51.156,203.56.235.109
127.130.245.136,124.131.9.139
14.204.18.88,13.56.236.103
202.62.142.212,202.57.9.168
62.225.150.180,63.30.26.177
216.193.8.225,208.62.9.142
70.128.157.28,65.64.29.129
15.42.236.240,12.57.29.143
127.200.52.140,124.239.236.149
61.132.139.103,61.132.9.192
121.61.19.27,121.61.28.155
124.225.30.249,127.31.25.154
121.212.244.213,121.236.236.164
206.17.243.11,206.31.236.148
120.178.251.175,120.237.5.111
200.218.142.129,200.61.9.130
65.60.147.59,69.35.28.187
202.179.99.151,202.236.28.105
129.45.9.41,129.61.8.166
216.221.114.130,208.33.8.157
207.34.248.77,207.35.7.176
216.85.110.187,208.237.26.185
10.5.28.77,11.133.25.177
207.250.250.186,207.133.5.121
123.104.204.98,122.238.235.157
204.50.233.66,204.57.25.188
61.33.106.231,61.63.29.152
122.201.6.253,123.63.6.133
206.17.98.156,206.31.28.157
60.223.4.93,60.56.5.108
15.130.245.104,12.131.8.151
200.193.107.221,200.33.25.164
70.223.123.145,65.32.5.110
11.255.31.73,10.130.27.118
17.58.132.187,17.61.5.120
10.74.51.114,11.237.235.148
217.133.98.135,209.133.29.123
206.143.239.215,206.239.235.169
65.251.134.86,69.132.6.102
60.195.204.93,60.35.236.108
122.223.251.188,123.32.5.125
68.223.11.128,66.58.9.159
126.72.24.42,125.238.25.161
217.17.156.90,209.30.29.160
17.59.20.174,17.60.235.110
70.221.123.126,65.35.5.126
125.7.241.131,126.134.8.124
128.45.110.159,128.59.26.159
10.128.154.238,11.64.28.144
201.34.138.113,201.33.8.114
10.75.133.61,11.236.5.196
126.239.243.164,125.30.237.107
200.223.6.116,200.59.6.117
126.4.7.132,125.132.7.139
200.44.132.93,200.235.5.108
11.181.239.71,10.237.235.120
129.61.7.49,129.33.7.194
64.40.19.139,68.62.235.113
14.203.136.208,13.60.8.175
203.244.42.129,203.236.236.142
216.196.227.192,208.59.25.191
62.86.134.162,63.239.6.172
71.203.19.190,64.60.29.126
65.32.147.0,69.62.27.195
202.33.13.79,202.33.8.183
10.1.203.105,11.130.235.146
17.209.6.165,17.238.6.165
10.207.244.193,11.62.8.198
65.37.9.42,69.59.8.164
122.220.28.162,123.34.28.165
216.4.27.163,208.132.25.101
69.209.7.170,67.239.7.101
202.30.134.166,202.31.6.168
122.202.45.238,123.61.237.150
123.220.156.148,122.60.28.149
216.5.107.15,208.133.28.143
12.222.230.128,15.35.25.159
126.215.7.219,125.63.7.160
121.62.43.21,121.63.235.130
15.31.30.139,12.31.26.139
120.251.207.160,120.132.235.103
127.55.236.211,124.63.236.196
200.225.237.179,200.31.236.112
17.35.234.64,17.32.28.127
121.124.135.119,121.64.7.137
16.200.211.247,16.56.235.135
14.22.115.82,13.238.8.160
66.41.28.175,70.239.29.111
10.5.13.12,11.133.8.140
216.230.226.93,208.30.29.164
64.47.12.140,68.56.236.193
69.210.248.73,67.237.7.178
65.41.16.167,69.55.25.171
12.198.45.69,15.55.236.186
69.63.235.224,67.34.29.143
200.217.225.27,200.62.26.192
207.255.100.125,207.131.27.124
217.16.18.181,209.31.237.180
128.42.134.224,128.61.6.128
203.52.242.91,203.60.9.100
15.60.11.167,12.34.236.103
124.225.236.123,127.31.237.123
216.193.5.162,208.62.5.173
124.75.12.174,127.236.237.110
217.42.134.241,209.61.6.129
202.30.133.126,202.31.5.158
61.39.99.207,61.58.25.176
17.210.145.71,17.237.26.184
216.87.26.189,208.239.29.125
15.46.140.130,12.62.9.124
64.40.236.215,68.62.25.200
202.176.98.167,202.238.26.171
122.123.12.171,123.132.236.165
10.128.133.151,11.64.5.103
12.0.227.191,15.130.27.191
124.224.241.20,127.30.9.144
16.204.244.165,16.60.237.101
201.31.237.81,201.31.236.174
63.205.236.9,62.61.235.134
205.55.28.127,205.56.27.143
14.21.117.70,13.237.8.184
63.205.116.70,62.61.9.186
123.4.224.104,122.132.27.139
68.1.29.113,66.131.29.130
14.205.245.244,13.57.237.145
68.192.226.251,66.32.28.139
205.30.156.138,205.31.28.148
61.37.100.143,61.57.27.115
63.220.159.124,62.32.27.125
201.59.143.14,201.60.8.142
201.255.135.78,201.130.7.118
71.6.21.48,64.134.236.183
205.246.24.201,205.238.27.198
129.24.140.105,129.31.9.138
68.194.120.131,66.34.7.156
204.52.231.84,204.60.27.168
205.35.121.188,205.34.6.125
207.67.6.212,207.64.6.165
69.210.244.37,67.237.9.165
17.35.241.132,17.32.8.120
13.17.106.196,14.31.28.187
123.215.29.163,122.55.29.109
122.223.236.13,123.32.25.132
13.36.155.14,14.56.29.142
64.207.123.3,68.239.5.129
123.0.5.69,122.130.5.122
202.35.132.50,202.34.5.181
205.57.8.119,205.55.9.112
121.124.156.181,121.64.29.177
13.38.4.163,14.58.5.196
203.64.7.180,203.64.7.117
12.201.155.188,15.62.28.124
17.61.121.104,17.57.6.144
206.248.231.254,206.134.27.158
15.45.204.148,12.61.237.101
205.57.7.24,205.55.7.135
216.201.113.19,208.55.9.141
64.63.204.215,68.34.237.160
204.145.240.115,204.239.235.141
12.231.245.191,15.30.8.127
124.220.31.125,127.34.25.125
120.16.250.166,120.31.5.104
127.34.43.73,124.33.235.118
122.206.149.223,123.59.29.199
65.39.123.159,69.56.5.159
205.133.4.67,205.133.5.125
16.124.10.95,16.130.236.111
201.250.249.139,201.133.6.112
129.41.110.165,129.57.25.106
128.45.121.15,128.59.6.151
13.33.203.182,14.62.237.182
122.43.98.105,123.235.26.105
68.5.23.76,66.133.27.180
205.128.142.68,205.130.9.123
124.199.103.72,127.55.25.119
129.137.242.114,129.238.8.117
123.111.107.223,122.235.27.167
205.30.43.253,205.31.235.141
16.222.249.30,16.33.6.198
14.122.20.98,13.133.235.157
128.62.251.50,128.35.5.197
122.127.213.116,123.130.237.112
121.213.237.138,121.237.236.117
16.224.233.35,16.31.26.173
201.57.27.78,201.62.29.118
68.192.227.3,66.32.29.156
122.203.7.4,123.60.7.155
216.195.24.224,208.60.27.195
216.195.6.141,208.60.6.148
203.131.106.127,203.131.28.127
63.12.154.236,62.236.29.149
120.250.135.91,120.133.7.161
13.202.135.91,14.237.7.196
128.23.115.179,128.30.9.116
126.209.104.154,125.59.25.154
127.52.14.230,124.60.8.136
71.204.149.178,64.59.28.117
66.194.229.140,70.35.28.117
129.249.138.19,129.134.9.196
202.181.120.123,202.235.7.152
61.63.4.38,61.35.5.169
205.132.249.112,205.132.6.151
61.38.15.129,61.59.235.158
129.43.248.232,129.58.7.151
11.127.237.140,10.64.29.116
66.219.157.15,70.58.26.147
124.207.27.50,127.56.27.180
63.221.27.137,62.33.29.136
200.193.123.137,200.33.5.114
205.57.4.48,205.55.5.179
129.44.28.109,129.60.27.196
70.76.116.234,65.236.8.132
15.130.11.123,12.131.236.152
126.75.29.244,125.236.29.197
16.123.156.138,16.132.29.145
121.124.143.205,121.64.9.178
129.40.19.53,129.56.236.178
205.128.148.244,205.130.29.149
216.198.154.151,208.57.25.147
12.113.215.236,15.238.235.149
71.191.240.137,64.64.8.150
128.22.135.22,128.31.7.130
16.205.98.111,16.61.29.135
120.16.249.57,120.31.6.186
206.17.102.244,206.31.26.145
70.200.226.170,65.56.29.162
201.61.109.54,201.59.28.182
202.32.245.107,202.32.236.195
217.61.101.45,209.33.28.160
217.67.120.85,209.64.7.101
15.67.45.0,12.64.237.143
10.221.202.76,11.33.237.179
203.131.120.94,203.131.7.160
71.76.251.159,64.236.5.111
65.32.146.119,69.62.26.119
16.188.121.140,16.64.6.116
127.16.14.31,124.30.9.135
121.25.120.233,121.31.7.138
122.46.135.178,123.239.7.176
200.43.135.245,200.236.7.132
62.3.248.11,63.130.7.148
11.34.156.111,10.35.28.111
12.204.239.50,15.56.235.178
122.44.134.142,123.236.6.146
123.219.20.144,122.59.27.151
11.35.244.85,10.34.9.104
128.212.51.239,128.235.237.147
201.146.132.160,201.237.5.163
64.67.111.201,68.64.25.176
66.127.117.53,70.131.8.196
205.33.23.60,205.33.27.188
10.201.135.255,11.58.7.159
203.32.132.1,203.35.5.134
202.250.135.235,202.133.7.147
16.221.14.161,16.34.8.166
14.201.25.81,13.63.26.174
205.57.28.163,205.55.27.109
204.24.233.175,204.30.25.111
70.128.155.70,65.64.25.185
121.33.6.72,121.33.6.112
201.60.249.115,201.58.6.131
206.143.15.165,206.239.8.106
60.23.207.26,60.238.235.153
17.34.149.139,17.33.28.115
69.132.232.95,67.132.27.103
203.50.136.239,203.57.8.151
203.32.148.178,203.35.25.178
120.60.250.129,120.58.5.142
71.201.18.193,64.63.26.190
10.221.21.69,11.33.29.186
60.122.23.167,60.133.235.169
60.16.132.68,60.235.5.121
123.223.243.74,122.63.236.180
68.232.244.247,66.31.8.195
66.218.133.114,70.59.5.116
122.222.19.178,123.33.235.117
203.49.100.206,203.59.29.182
16.19.229.23,16.236.28.200
129.40.20.184,129.56.235.123
201.254.11.114,201.131.235.114
69.210.51.120,67.237.235.123
12.206.145.5,15.59.26.153
16.23.244.134,16.235.236.198
61.131.13.111,61.131.8.135
125.195.26.180,126.35.28.181
123.6.143.31,122.134.9.159
202.57.26.232,202.63.26.147
128.47.135.247,128.56.7.136
65.61.121.109,69.34.6.140
65.37.21.71,69.59.26.187
17.132.117.91,17.132.8.171
205.53.108.113,205.58.29.130
127.32.247.191,124.35.8.127
64.204.245.139,68.236.9.149
15.132.120.176,12.132.7.183
63.222.237.10,62.35.25.130
126.192.243.15,125.32.8.151
71.191.48.72,64.64.235.115
120.179.236.108,120.236.28.109
11.180.148.170,10.236.27.164
61.239.121.105,61.239.6.130
60.120.203.179,60.134.237.112
15.30.121.177,12.30.6.118
10.201.50.37,11.58.237.169
204.54.237.46,204.63.29.162
17.25.18.34,17.31.29.162
125.118.228.183,126.235.29.119
202.33.19.150,202.33.29.105
65.35.147.171,69.60.28.100
13.35.248.86,14.60.7.170
206.34.156.51,206.61.29.181
17.213.100.175,17.235.27.175
202.56.227.168,202.62.28.104
70.202.159.192,65.59.27.191
200.194.141.235,200.35.9.148
65.147.117.91,69.236.9.169
128.209.123.130,128.239.5.156
69.214.42.149,67.235.237.100
121.133.11.242,121.133.9.148
127.35.244.147,124.32.8.140
63.191.236.174,62.64.27.198
61.233.20.102,61.235.27.138
60.195.98.218,60.35.28.169
127.32.230.231,124.35.26.131
16.122.141.48,16.133.8.192
203.246.227.144,203.239.27.111
12.113.210.189,15.238.236.189
203.24.50.132,203.31.237.120
128.133.108.241,128.133.28.145
206.250.134.65,206.133.6.126
126.213.245.202,125.61.237.192
12.112.146.242,15.239.25.146
124.72.40.74,127.239.235.113
71.207.236.151,64.56.29.107
203.24.249.131,203.31.6.124
205.55.7.27,205.56.7.153
60.122.236.112,60.133.27.143
69.62.227.141,67.35.29.144
11.251.200.118,10.132.235.138
202.178.148.187,202.237.27.123
201.59.145.178,201.60.26.114
120.17.114.182,120.30.9.182
217.46.142.45,209.59.9.196
206.251.251.184,206.132.5.185
66.223.200.2,70.62.235.157
207.251.52.152,207.132.236.152
121.58.228.100,121.59.29.133
13.63.151.107,14.32.27.144
124.202.137.109,127.61.8.148
201.35.52.245,201.32.236.137
122.201.17.143,123.63.25.144
203.52.235.26,203.60.28.133
15.44.16.244,12.60.25.197
123.105.213.153,122.239.237.105
203.33.226.238,203.34.29.130
127.203.44.38,124.236.235.200
68.222.19.39,66.59.236.169
200.121.143.77,200.134.9.113
17.131.143.143,17.130.9.143
120.59.249.176,120.60.6.119
123.1.101.60,122.131.29.188
65.63.236.157,69.32.236.156
200.194.45.107,200.35.236.136
60.217.109.152,60.62.29.139
62.199.101.116,63.56.28.195
121.35.24.13,121.35.27.149
129.67.239.123,129.64.27.121
13.17.120.120,14.31.7.120
217.60.200.7,209.32.235.152
202.59.235.11,202.60.28.148
60.218.236.179,60.61.27.176
68.222.23.53,66.59.235.176
128.46.133.126,128.57.5.130
203.64.21.137,203.64.25.114
207.33.202.139,207.33.237.115
125.230.42.16,126.31.237.199
201.151.9.77,201.235.8.181
70.204.119.127,65.60.9.127
202.35.10.174,202.34.237.102
71.203.212.249,64.60.235.153
128.22.143.57,128.31.8.200
203.25.132.31,203.30.5.143
121.57.29.76,121.57.26.177
207.248.235.124,207.134.236.131
68.105.106.138,66.239.28.138
61.132.150.135,61.132.26.195
63.201.235.134,62.58.28.122
201.55.109.48,201.55.25.183
13.34.146.173,14.61.29.165
204.144.121.72,204.238.6.183
66.231.119.165,70.31.9.106
121.55.24.205,121.55.27.194
63.15.4.114,62.239.5.141
11.35.19.64,10.34.237.127
216.1.122.224,208.131.5.159
15.42.234.178,12.57.26.180
203.133.110.126,203.133.25.126
123.219.244.76,122.59.236.116
202.252.15.190,202.131.235.126
64.38.250.68,68.55.5.120
68.5.14.75,66.133.8.112
64.42.20.236,68.61.237.140
69.36.117.78,67.58.9.118
15.60.133.119,12.34.5.115
16.18.42.65,16.237.237.126
15.134.19.17,12.134.235.144
10.221.6.208,11.33.6.175
204.251.244.107,204.132.236.100
216.5.121.181,208.133.6.114
63.200.133.164,62.59.5.105
120.178.16.213,120.237.235.165
15.134.230.87,12.134.26.107
129.138.53.142,129.237.236.118
